Season,Date,HomeTeam,AwayTeam,FTR,B365,BS,BW,GB,IW,LB,PS,SB,SJ,VC,WH
S0910,12/09/2009,Blackburn,Wolves,H,18.3,18.3,18.5,18.5,18.5,18.3,0.0,18.0,18.0,18.5,18.5
S0910,12/09/2009,Liverpool,Burnley,H,12.0,12.0,12.0,12.0,12.2,11.7,0.0,11.299999999999999,11.799999999999999,12.0,11.7
S0910,12/09/2009,Man City,Arsenal,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/09/2009,Portsmouth,Bolton,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/09/2009,Stoke,Chelsea,A,14.0,14.0,14.0,14.0,14.0,14.0,0.0,13.5,14.0,14.0,13.600000000000001
S0910,12/09/2009,Sunderland,Hull,H,17.5,17.5,17.5,17.7,18.0,18.0,0.0,17.0,18.0,18.0,17.5
S0910,12/09/2009,Tottenham,Man United,A,23.0,23.0,22.0,22.5,23.5,22.5,0.0,22.0,22.0,22.5,23.0
S0910,12/09/2009,Wigan,West Ham,H,23.0,23.0,21.5,23.0,22.0,22.5,0.0,22.0,22.5,22.0,22.5
S0910,13/09/2009,Birmingham,Aston Villa,A,22.5,23.0,22.0,22.0,23.0,22.5,0.0,21.0,22.5,22.5,22.0
S0910,13/09/2009,Fulham,Everton,H,26.0,25.0,24.0,26.0,24.0,25.0,0.0,23.0,26.0,26.0,26.200000000000003
S0910,19/09/2009,Arsenal,Wigan,H,12.5,12.9,12.5,12.2,12.2,12.2,0.0,12.0,12.2,12.5,12.2
S0910,19/09/2009,Aston Villa,Portsmouth,H,14.0,14.399999999999999,13.5,14.0,14.299999999999999,13.600000000000001,0.0,13.3,14.0,14.0,14.0
S0910,19/09/2009,Bolton,Stoke,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/09/2009,Burnley,Sunderland,H,-10.0,-10.0,-10.0,-10.0,25.5,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/09/2009,Hull,Birmingham,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/09/2009,West Ham,Liverpool,A,15.3,15.700000000000001,14.5,15.0,15.5,15.700000000000001,0.0,15.0,15.3,15.3,15.3
S0910,20/09/2009,Chelsea,Tottenham,H,15.0,15.0,14.0,15.0,15.5,15.0,0.0,14.5,15.3,15.0,14.399999999999999
S0910,20/09/2009,Everton,Blackburn,H,18.0,18.3,16.5,17.5,17.5,18.0,0.0,17.0,18.0,18.3,18.0
S0910,20/09/2009,Man United,Man City,H,15.700000000000001,15.700000000000001,16.0,16.0,16.0,16.200000000000003,0.0,15.700000000000001,16.200000000000003,16.0,16.200000000000003
S0910,20/09/2009,Wolves,Fulham,H,25.0,25.0,24.0,25.0,24.0,26.0,0.0,25.0,25.0,25.0,25.0
S0910,26/09/2009,Birmingham,Bolton,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,26/09/2009,Blackburn,Aston Villa,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,26/09/2009,Fulham,Arsenal,A,15.3,15.700000000000001,15.0,15.5,15.5,15.700000000000001,0.0,15.5,15.700000000000001,15.700000000000001,15.0
S0910,26/09/2009,Liverpool,Hull,H,11.399999999999999,11.7,11.5,11.5,11.5,11.399999999999999,0.0,11.200000000000001,11.399999999999999,11.200000000000001,11.399999999999999
S0910,26/09/2009,Portsmouth,Everton,A,19.099999999999998,19.5,19.5,19.0,19.0,18.3,0.0,19.099999999999998,19.5,19.099999999999998,19.5
S0910,26/09/2009,Stoke,Man United,A,14.0,14.0,13.0,14.0,14.0,13.3,0.0,13.5,13.600000000000001,14.0,13.600000000000001
S0910,26/09/2009,Tottenham,Burnley,H,13.3,13.3,13.5,13.3,13.5,13.0,0.0,13.3,13.3,13.0,13.3
S0910,26/09/2009,Wigan,Chelsea,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,27/09/2009,Sunderland,Wolves,H,17.3,17.3,17.0,17.3,17.5,17.3,0.0,17.0,17.3,16.7,17.0
S0910,28/09/2009,Man City,West Ham,H,14.399999999999999,14.399999999999999,14.0,14.5,14.5,14.0,0.0,14.0,14.0,14.0,14.0
S0910,03/10/2009,Bolton,Tottenham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,03/10/2009,Burnley,Birmingham,H,23.0,22.5,22.0,22.5,23.0,22.0,0.0,22.5,22.5,22.0,21.0
S0910,03/10/2009,Hull,Wigan,H,-10.0,-10.0,-10.0,-10.0,26.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,03/10/2009,Man United,Sunderland,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,03/10/2009,Wolves,Portsmouth,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,04/10/2009,Arsenal,Blackburn,H,12.0,12.2,11.799999999999999,12.2,12.0,12.0,0.0,12.2,12.2,12.0,12.0
S0910,04/10/2009,Chelsea,Liverpool,H,21.0,21.0,20.5,21.5,21.0,21.0,0.0,21.0,21.0,22.0,21.0
S0910,04/10/2009,Everton,Stoke,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,04/10/2009,West Ham,Fulham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,05/10/2009,Aston Villa,Man City,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,17/10/2009,Arsenal,Birmingham,H,11.7,11.7,11.6,11.7,12.0,11.7,0.0,11.5,11.7,11.399999999999999,11.7
S0910,17/10/2009,Aston Villa,Chelsea,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,17/10/2009,Everton,Wolves,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,17/10/2009,Man United,Bolton,H,12.0,12.2,12.0,12.0,12.0,12.0,0.0,11.799999999999999,12.0,11.799999999999999,12.0
S0910,17/10/2009,Portsmouth,Tottenham,A,18.3,18.0,16.5,18.0,18.0,18.0,0.0,18.0,17.3,18.0,18.0
S0910,17/10/2009,Stoke,West Ham,H,21.0,20.0,21.5,21.0,21.0,21.0,0.0,21.0,21.0,20.0,21.5
S0910,17/10/2009,Sunderland,Liverpool,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,18/10/2009,Blackburn,Burnley,H,17.3,17.5,17.5,17.5,17.5,18.0,0.0,17.0,18.0,17.5,17.5
S0910,18/10/2009,Wigan,Man City,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/10/2009,Fulham,Hull,H,16.7,16.7,16.5,17.0,17.0,16.200000000000003,0.0,16.5,16.7,16.7,16.200000000000003
S0910,24/10/2009,Birmingham,Sunderland,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,24/10/2009,Burnley,Wigan,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,24/10/2009,Chelsea,Blackburn,H,12.0,11.799999999999999,12.0,12.0,12.2,12.0,0.0,11.7,12.0,11.799999999999999,11.7
S0910,24/10/2009,Hull,Portsmouth,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,24/10/2009,Tottenham,Stoke,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,24/10/2009,Wolves,Aston Villa,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,25/10/2009,Bolton,Everton,H,26.299999999999997,26.0,-10.0,-10.0,26.0,-10.0,0.0,-10.0,-10.0,25.0,-10.0
S0910,25/10/2009,Liverpool,Man United,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,25/10/2009,Man City,Fulham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,25/10/2009,West Ham,Arsenal,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,31/10/2009,Arsenal,Tottenham,H,15.700000000000001,15.700000000000001,15.0,15.700000000000001,16.0,16.200000000000003,0.0,15.5,16.200000000000003,15.700000000000001,15.700000000000001
S0910,31/10/2009,Bolton,Chelsea,A,14.0,14.399999999999999,14.0,14.399999999999999,14.5,14.399999999999999,0.0,14.0,14.399999999999999,14.399999999999999,14.0
S0910,31/10/2009,Burnley,Hull,H,19.099999999999998,19.5,19.0,19.0,19.0,18.3,0.0,19.099999999999998,20.0,19.099999999999998,19.099999999999998
S0910,31/10/2009,Everton,Aston Villa,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,31/10/2009,Fulham,Liverpool,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,31/10/2009,Man United,Blackburn,H,11.7,11.7,11.5,11.7,11.7,11.7,0.0,11.5,11.5,11.7,11.7
S0910,31/10/2009,Portsmouth,Wigan,H,23.799999999999997,24.0,24.0,24.0,23.0,23.799999999999997,0.0,23.0,24.0,24.0,23.799999999999997
S0910,31/10/2009,Stoke,Wolves,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,31/10/2009,Sunderland,West Ham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,01/11/2009,Birmingham,Man City,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,04/11/2009,West Ham,Aston Villa,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,26.0,26.200000000000003
S0910,07/11/2009,Aston Villa,Bolton,H,18.0,16.7,17.0,18.0,17.5,17.3,0.0,16.5,17.3,18.0,17.3
S0910,07/11/2009,Blackburn,Portsmouth,H,21.0,20.5,20.5,21.0,20.0,20.0,0.0,20.0,22.0,20.0,20.5
S0910,07/11/2009,Man City,Burnley,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,07/11/2009,Tottenham,Sunderland,H,15.700000000000001,15.700000000000001,15.5,15.700000000000001,16.0,15.700000000000001,0.0,15.0,15.700000000000001,15.700000000000001,15.3
S0910,07/11/2009,Wolves,Arsenal,A,13.600000000000001,14.0,14.0,14.0,14.0,14.0,0.0,13.600000000000001,14.0,13.600000000000001,13.600000000000001
S0910,08/11/2009,Chelsea,Man United,H,20.0,20.0,19.5,20.5,21.0,21.0,0.0,20.0,20.0,20.0,20.5
S0910,08/11/2009,Hull,Stoke,H,-10.0,-10.0,25.5,-10.0,26.0,-10.0,0.0,25.5,26.0,-10.0,-10.0
S0910,08/11/2009,West Ham,Everton,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,08/11/2009,Wigan,Fulham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,09/11/2009,Liverpool,Birmingham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,21/11/2009,Birmingham,Fulham,H,25.0,25.0,25.0,24.0,24.0,24.0,0.0,23.5,24.0,25.0,25.0
S0910,21/11/2009,Burnley,Aston Villa,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,21/11/2009,Chelsea,Wolves,H,11.7,11.7,11.5,11.6,11.5,11.7,0.0,11.399999999999999,11.7,11.7,11.7
S0910,21/11/2009,Hull,West Ham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,21/11/2009,Liverpool,Man City,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,21/11/2009,Man United,Everton,H,14.0,14.0,13.799999999999999,14.0,13.5,14.0,0.0,13.5,13.600000000000001,14.0,14.0
S0910,21/11/2009,Sunderland,Arsenal,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,22/11/2009,Bolton,Blackburn,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,22/11/2009,Stoke,Portsmouth,H,21.0,20.5,22.0,21.0,20.0,21.0,0.0,21.0,20.0,21.0,21.5
S0910,22/11/2009,Tottenham,Wigan,H,14.399999999999999,14.399999999999999,14.5,14.5,15.0,15.0,0.0,14.0,14.399999999999999,14.0,14.399999999999999
S0910,25/11/2009,Fulham,Blackburn,H,21.0,21.0,21.0,21.0,22.0,21.0,0.0,19.5,20.5,21.0,21.0
S0910,25/11/2009,Hull,Everton,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,28/11/2009,Aston Villa,Tottenham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,28/11/2009,Blackburn,Stoke,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,28/11/2009,Fulham,Bolton,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,28/11/2009,Man City,Hull,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,28/11/2009,Portsmouth,Man United,A,13.600000000000001,14.0,13.5,13.700000000000001,14.2,13.600000000000001,0.0,13.3,13.3,13.600000000000001,13.600000000000001
S0910,28/11/2009,West Ham,Burnley,H,18.0,18.3,17.5,18.0,18.0,18.3,0.0,17.5,18.0,18.0,18.0
S0910,28/11/2009,Wigan,Sunderland,H,24.0,24.0,24.0,24.5,25.0,25.0,0.0,24.0,25.0,24.0,24.0
S0910,29/11/2009,Arsenal,Chelsea,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,29/11/2009,Everton,Liverpool,A,21.0,22.5,21.0,21.0,21.0,22.0,0.0,21.0,21.0,21.0,21.0
S0910,29/11/2009,Wolves,Birmingham,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,05/12/2009,Arsenal,Stoke,H,12.9,13.0,12.5,12.8,12.7,12.5,0.0,12.5,12.9,12.9,12.5
S0910,05/12/2009,Aston Villa,Hull,H,14.399999999999999,14.399999999999999,14.5,14.5,15.0,14.399999999999999,0.0,14.5,14.399999999999999,14.399999999999999,14.399999999999999
S0910,05/12/2009,Blackburn,Liverpool,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,05/12/2009,Man City,Chelsea,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,05/12/2009,Portsmouth,Burnley,H,19.099999999999998,18.3,18.5,18.5,18.5,18.3,0.0,18.0,18.0,18.5,18.3
S0910,05/12/2009,West Ham,Man United,A,14.399999999999999,15.0,14.5,14.5,15.0,14.399999999999999,0.0,14.5,14.399999999999999,14.399999999999999,14.399999999999999
S0910,05/12/2009,Wigan,Birmingham,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,05/12/2009,Wolves,Bolton,H,23.799999999999997,23.799999999999997,23.5,23.0,24.0,23.799999999999997,0.0,24.0,23.799999999999997,24.0,23.0
S0910,06/12/2009,Everton,Tottenham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,06/12/2009,Fulham,Sunderland,H,21.0,22.0,21.0,21.0,20.0,21.0,0.0,21.0,22.0,22.0,21.0
S0910,12/12/2009,Birmingham,West Ham,H,21.0,21.0,21.0,21.0,21.0,20.0,0.0,21.0,21.0,20.5,21.5
S0910,12/12/2009,Bolton,Man City,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Burnley,Fulham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Chelsea,Everton,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Hull,Blackburn,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Man United,Aston Villa,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Stoke,Wigan,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Sunderland,Portsmouth,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,12/12/2009,Tottenham,Wolves,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,13/12/2009,Liverpool,Arsenal,A,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,15/12/2009,Birmingham,Blackburn,H,22.0,21.5,21.0,22.0,21.0,21.0,0.0,21.0,21.0,22.5,22.5
S0910,15/12/2009,Bolton,West Ham,H,22.5,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.5,22.5
S0910,15/12/2009,Man United,Wolves,H,11.7,11.7,11.5,11.7,11.7,12.0,0.0,11.399999999999999,11.7,11.7,12.0
S0910,15/12/2009,Sunderland,Aston Villa,A,25.0,24.0,24.0,24.0,25.0,23.799999999999997,0.0,23.0,24.0,25.0,24.0
S0910,16/12/2009,Burnley,Arsenal,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,16/12/2009,Chelsea,Portsmouth,H,11.399999999999999,11.7,11.200000000000001,11.5,11.7,11.7,0.0,11.5,11.399999999999999,11.399999999999999,11.399999999999999
S0910,16/12/2009,Liverpool,Wigan,H,13.3,13.600000000000001,13.0,13.3,13.5,13.3,0.0,13.0,13.3,13.0,13.3
S0910,16/12/2009,Tottenham,Man City,H,22.5,22.0,22.5,22.5,21.0,22.5,0.0,22.5,22.5,22.5,22.5
S0910,19/12/2009,Arsenal,Hull,H,12.2,12.2,11.799999999999999,12.0,11.7,12.2,0.0,11.5,11.7,12.0,12.0
S0910,19/12/2009,Aston Villa,Stoke,H,14.0,14.0,14.5,14.0,14.5,14.399999999999999,0.0,14.0,14.0,14.399999999999999,14.0
S0910,19/12/2009,Blackburn,Tottenham,A,22.0,22.0,21.0,21.5,23.0,22.0,0.0,22.0,22.0,22.5,21.5
S0910,19/12/2009,Fulham,Man United,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,19/12/2009,Man City,Sunderland,H,15.3,15.0,14.5,15.3,14.5,15.0,0.0,14.5,15.0,15.700000000000001,14.399999999999999
S0910,19/12/2009,Portsmouth,Liverpool,H,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,20/12/2009,Everton,Birmingham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,20/12/2009,West Ham,Chelsea,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,20/12/2009,Wolves,Burnley,H,21.0,20.5,21.0,20.0,20.0,21.0,0.0,20.0,20.0,21.0,20.0
S0910,26/12/2009,Birmingham,Chelsea,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,26/12/2009,Burnley,Bolton,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,26/12/2009,Fulham,Tottenham,D,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0
S0910,26/12/2009,Liverpool,Wolves,H,12.9,12.9,12.5,12.7,12.7,12.9,0.0,12.0,12.5,13.0,12.5
